city,days,travel_type,interest,recommended_budget
Edinburgh,7,solo,culture,1112
Hyderabad,6,couple,culture,597
Hyderabad,4,family,shopping,630
Mumbai,3,solo,shopping,374
Hyderabad,6,couple,shopping,747
Hyderabad,5,family,shopping,717
London,2,family,nightlife,824
London,6,family,nature,2438
Edinburgh,4,solo,culture,558
Edinburgh,3,couple,culture,765
Mumbai,4,solo,shopping,284
Edinburgh,5,solo,culture,700
Edinburgh,7,family,shopping,2413
London,6,couple,shopping,1585
Hyderabad,5,couple,culture,655
London,5,solo,culture,883
Edinburgh,2,couple,nature,387
Mumbai,2,family,shopping,428
Edinburgh,5,couple,shopping,1272
Mumbai,5,couple,shopping,697
Mumbai,4,family,nightlife,898
London,3,solo,shopping,560
Mumbai,4,couple,nightlife,588
London,5,family,culture,2062
Edinburgh,2,solo,culture,260
Hyderabad,2,family,shopping,237
London,4,solo,culture,714
Mumbai,6,family,shopping,1232
Mumbai,7,solo,nature,595
London,7,couple,nature,1867
Mumbai,6,couple,culture,816
London,7,solo,nature,1066
London,4,couple,nightlife,1013
Hyderabad,7,family,shopping,1014
Edinburgh,2,solo,culture,322
Hyderabad,6,solo,nightlife,387
Hyderabad,2,family,nature,390
Edinburgh,2,couple,nature,581
Edinburgh,5,couple,shopping,1191
London,4,family,nature,1687
Hyderabad,6,couple,culture,572
London,4,couple,nightlife,1053
Edinburgh,2,family,nature,833
Edinburgh,7,couple,nature,1783
Hyderabad,5,couple,shopping,604
Edinburgh,7,couple,shopping,1592
Mumbai,6,family,culture,1063
Hyderabad,2,solo,nature,200
Hyderabad,6,family,culture,818
Hyderabad,2,couple,shopping,184
London,7,couple,nature,2031
Edinburgh,7,couple,nature,1743
Edinburgh,7,solo,nightlife,958
Mumbai,7,family,nightlife,1416
London,3,family,shopping,1305
Mumbai,3,couple,shopping,356
Hyderabad,5,solo,shopping,384
London,2,couple,culture,597
Mumbai,7,couple,culture,878
Edinburgh,3,solo,nature,388
Edinburgh,2,solo,nightlife,318
Hyderabad,2,family,shopping,336
London,3,couple,shopping,766
Hyderabad,4,solo,nature,251
Edinburgh,5,family,culture,1794
Mumbai,3,solo,culture,184
London,2,family,nature,874
London,6,solo,shopping,872
Hyderabad,2,family,culture,395
London,2,couple,culture,464
Edinburgh,4,family,nightlife,1336
Mumbai,2,solo,nature,97
London,5,solo,shopping,746
Edinburgh,3,couple,shopping,849
Hyderabad,5,family,culture,662
Mumbai,6,solo,nightlife,380
Mumbai,2,solo,nature,252
Mumbai,7,solo,nightlife,533
London,6,solo,nature,996
Edinburgh,5,couple,shopping,1117
Mumbai,5,solo,nightlife,506
Mumbai,7,solo,nightlife,445
Edinburgh,4,family,culture,1356
Hyderabad,7,couple,nature,666
Edinburgh,6,couple,nature,1340
Hyderabad,7,couple,nature,694
Edinburgh,7,couple,shopping,1718
London,7,solo,nightlife,1201
Edinburgh,6,family,culture,2227
Mumbai,5,couple,nature,601
Edinburgh,5,family,culture,1753
Edinburgh,3,family,nature,1130
Mumbai,4,family,nature,882
Mumbai,6,couple,shopping,888
Edinburgh,6,solo,culture,794
Mumbai,5,solo,nature,286
Edinburgh,4,solo,nightlife,664
London,5,family,shopping,2100
Edinburgh,4,solo,shopping,676
Edinburgh,6,couple,shopping,1459
Edinburgh,4,solo,culture,616
Mumbai,3,solo,shopping,248
London,5,couple,nightlife,1349
Edinburgh,2,family,culture,655
Edinburgh,5,couple,shopping,1232
Edinburgh,5,couple,culture,1106
London,3,family,nature,1284
Mumbai,2,couple,shopping,199
London,4,solo,culture,739
Edinburgh,5,family,shopping,1805
London,4,solo,culture,714
Edinburgh,7,couple,nightlife,1622
London,2,couple,nature,469
Hyderabad,3,solo,nightlife,131
Hyderabad,4,couple,culture,485
Mumbai,4,couple,shopping,633
Hyderabad,3,solo,nature,276
Mumbai,7,couple,nature,981
Mumbai,7,couple,nature,932
London,7,family,nature,2705
Hyderabad,5,solo,shopping,307
Hyderabad,2,family,culture,249
London,5,couple,culture,1275
Edinburgh,4,family,nature,1489
Hyderabad,5,family,culture,738
Mumbai,4,family,shopping,751
Mumbai,3,couple,nature,285
Edinburgh,4,solo,shopping,584
Mumbai,2,family,shopping,519
Edinburgh,3,couple,shopping,621
Hyderabad,3,couple,nightlife,433
London,7,solo,shopping,1058
Hyderabad,4,couple,nature,400
Mumbai,5,solo,culture,348
Edinburgh,6,couple,shopping,1498
Hyderabad,3,couple,shopping,405
Edinburgh,4,couple,culture,1006
Hyderabad,6,family,nightlife,940
Hyderabad,3,solo,nature,327
London,4,couple,shopping,1116
Edinburgh,2,solo,shopping,420
London,5,solo,nature,862
