city,days,travel_type,interest,recommended_budget
Berlin,2,couple,shopping,284
Rome,4,solo,culture,619
Amsterdam,5,family,shopping,1714
Paris,5,couple,nightlife,1356
Amsterdam,2,family,shopping,832
Berlin,3,solo,nature,204
Amsterdam,5,solo,shopping,847
Paris,3,couple,shopping,890
Barcelona,3,solo,nature,456
Berlin,7,couple,nature,1230
Rome,7,couple,culture,1454
Amsterdam,6,family,nightlife,2160
Paris,4,solo,nature,510
Amsterdam,5,couple,culture,1105
Amsterdam,4,family,nature,1489
Paris,5,family,culture,1863
Berlin,4,family,shopping,1001
Berlin,3,couple,nightlife,517
Rome,6,family,culture,1947
Paris,4,family,culture,1479
Berlin,3,family,nightlife,790
Berlin,7,family,nature,1714
Rome,2,family,nightlife,637
Berlin,7,solo,nature,643
Paris,6,couple,nightlife,1530
Amsterdam,5,couple,shopping,1260
Barcelona,3,couple,shopping,711
Rome,7,solo,shopping,930
Barcelona,4,solo,culture,389
Amsterdam,2,couple,nightlife,622
Rome,3,family,culture,1034
Paris,6,family,culture,2216
Amsterdam,5,solo,nature,762
Rome,2,family,shopping,639
Paris,3,solo,nightlife,442
Amsterdam,6,family,nature,2067
Paris,3,solo,nature,503
Barcelona,5,family,nature,1458
Rome,2,solo,culture,281
Paris,2,couple,nature,657
Barcelona,2,solo,nightlife,336
Rome,4,solo,shopping,495
Berlin,4,family,culture,1087
Berlin,6,solo,nature,631
Berlin,5,family,nature,1265
Barcelona,6,solo,nightlife,766
Amsterdam,7,solo,shopping,947
Berlin,4,solo,culture,494
Rome,6,couple,culture,1249
Berlin,5,family,nature,1334
Paris,6,family,culture,2218
Barcelona,7,solo,culture,988
Amsterdam,7,couple,culture,1622
Berlin,7,solo,culture,811
Rome,4,couple,shopping,979
Amsterdam,5,couple,shopping,1253
Paris,6,solo,shopping,857
Berlin,7,couple,culture,1114
Rome,4,couple,culture,909
Rome,7,family,nightlife,2422
Barcelona,7,solo,nightlife,980
Rome,3,couple,nightlife,749
Berlin,7,solo,culture,738
Berlin,7,solo,culture,667
Amsterdam,2,family,culture,700
Paris,2,family,culture,700
Amsterdam,2,solo,shopping,267
Berlin,4,couple,culture,818
Berlin,6,couple,culture,1000
Berlin,4,solo,culture,372
Barcelona,7,couple,nightlife,1379
Barcelona,4,solo,shopping,428
Amsterdam,6,family,nightlife,2064
Paris,4,couple,shopping,1019
Amsterdam,3,solo,shopping,362
Amsterdam,4,couple,nature,884
Berlin,6,family,nightlife,1615
Rome,6,family,nature,1970
Paris,2,family,culture,842
Barcelona,4,couple,nightlife,728
Rome,4,family,shopping,1401
Paris,5,family,nightlife,1946
Berlin,7,family,culture,1878
Rome,3,family,shopping,1053
Berlin,5,solo,culture,411
Barcelona,4,solo,shopping,519
Paris,7,solo,culture,1006
Amsterdam,7,solo,nature,999
Rome,2,couple,nature,453
Paris,4,couple,culture,1042
Berlin,7,family,shopping,1845
Paris,6,couple,shopping,1508
Rome,7,solo,nightlife,957
Barcelona,3,family,nature,904
Paris,3,couple,culture,866
Paris,3,couple,nature,733
Amsterdam,7,solo,culture,961
Berlin,5,solo,culture,618
Paris,5,family,shopping,1905
Berlin,3,solo,shopping,407
Berlin,5,couple,nature,771
Berlin,4,family,shopping,1118
Barcelona,7,family,culture,2181
Amsterdam,5,family,nightlife,1876
Berlin,7,solo,nature,749
Rome,7,family,shopping,2184
Paris,2,couple,culture,596
Amsterdam,4,couple,culture,1047
Paris,4,couple,culture,929
Barcelona,4,couple,shopping,763
Barcelona,4,couple,nightlife,813
Paris,6,solo,culture,844
Amsterdam,2,solo,nightlife,262
Paris,3,solo,culture,395
Berlin,7,couple,culture,1163
Berlin,4,couple,nature,742
Amsterdam,4,solo,shopping,612
Amsterdam,5,solo,shopping,672
Rome,3,family,nightlife,966
Paris,4,solo,culture,669
Berlin,5,solo,nightlife,438
Paris,6,family,shopping,2373
Amsterdam,2,solo,nature,248
Rome,3,family,culture,1052
Rome,7,couple,culture,1521
Berlin,7,family,nature,1731
Rome,5,family,shopping,1601
Rome,3,couple,culture,809
